cytokine,environment,pbmc,time,donor,value
CXCL-9,Inflammatory,Resting,96,3.0,340.387976732991
CXCL-9,Inflammatory,Resting,96,4.0,271.057270942741
CXCL10/IP10/CRG2,Basal,Activated,24,1.0,31.1782626501472
CXCL10/IP10/CRG2,Basal,Activated,24,2.0,31.7336214342643
CXCL10/IP10/CRG2,Basal,Activated,24,3.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,24,4.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,48,1.0,41.4830753086323
CXCL10/IP10/CRG2,Basal,Activated,48,2.0,104.686666901443
CXCL10/IP10/CRG2,Basal,Activated,48,3.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,48,4.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,96,1.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,96,2.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,96,3.0,410.0
CXCL10/IP10/CRG2,Basal,Activated,96,4.0,410.0
CXCL10/IP10/CRG2,Basal,None,24,,37.23905199128555
CXCL10/IP10/CRG2,Basal,None,48,,15.30280615135605
CXCL10/IP10/CRG2,Basal,None,96,,31.76846933596792
CXCL10/IP10/CRG2,Basal,Resting,24,1.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,24,2.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,24,3.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,24,4.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,48,1.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,48,2.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,48,3.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,48,4.0,410.0
CXCL10/IP10/CRG2,Basal,Resting,96,1.0,217.388432268258
CXCL10/IP10/CRG2,Basal,Resting,96,2.0,200.695211542866
CXCL10/IP10/CRG2,Basal,Resting,96,3.0,209.675397717017
CXCL10/IP10/CRG2,Basal,Resting,96,4.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,24,1.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,24,2.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,24,3.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,24,4.0,0.349174855713641
CXCL10/IP10/CRG2,Inflammatory,Activated,48,1.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,48,2.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,48,3.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,48,4.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,96,1.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,96,2.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,96,3.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Activated,96,4.0,410.0
CXCL10/IP10/CRG2,Inflammatory,None,24,,402.74524347934823
CXCL10/IP10/CRG2,Inflammatory,None,48,,85.97017938625525
CXCL10/IP10/CRG2,Inflammatory,None,96,,61.29405858859923
CXCL10/IP10/CRG2,Inflammatory,Resting,24,1.0,448.034306597416
CXCL10/IP10/CRG2,Inflammatory,Resting,24,2.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Resting,24,3.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Resting,24,4.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Resting,48,1.0,66.1005280276684
CXCL10/IP10/CRG2,Inflammatory,Resting,48,2.0,137.871150999657
CXCL10/IP10/CRG2,Inflammatory,Resting,48,3.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Resting,48,4.0,410.0
CXCL10/IP10/CRG2,Inflammatory,Resting,96,1.0,138.775266207421
CXCL10/IP10/CRG2,Inflammatory,Resting,96,2.0,110.309199763128
CXCL10/IP10/CRG2,Inflammatory,Resting,96,3.0,123.929976414223
CXCL10/IP10/CRG2,Inflammatory,Resting,96,4.0,124.733287197389
EGF,Basal,Activated,24,1.0,0.468428913129342
EGF,Basal,Activated,24,2.0,0.54675788706153
EGF,Basal,Activated,24,3.0,0.600938874286765
EGF,Basal,Activated,24,4.0,0.685006964513432
EGF,Basal,Activated,48,1.0,1.16733579463161
EGF,Basal,Activated,48,2.0,0.600938874286765
EGF,Basal,Activated,48,3.0,0.847341907537537
EGF,Basal,Activated,48,4.0,1.01956848172049
EGF,Basal,Activated,96,1.0,0.862601921812471
EGF,Basal,Activated,96,2.0,0.802054049926862
EGF,Basal,Activated,96,3.0,0.468428913129342
EGF,Basal,Activated,96,4.0,0.468428913129342
EGF,Basal,None,24,,0.5814146594350055
EGF,Basal,None,48,,0.6574889605103564
EGF,Basal,None,96,,0.5410536383406775
EGF,Basal,Resting,24,1.0,0.481230981261639
EGF,Basal,Resting,24,2.0,0.195511830045023
EGF,Basal,Resting,24,3.0,0.235949151827993
EGF,Basal,Resting,24,4.0,0.520248007924563
EGF,Basal,Resting,48,1.0,1.21789861206529
EGF,Basal,Resting,48,2.0,0.832163524470082
EGF,Basal,Resting,48,3.0,1.01956848172049
EGF,Basal,Resting,48,4.0,0.713749407608201
EGF,Basal,Resting,96,1.0,0.742841754055181
EGF,Basal,Resting,96,2.0,1.05188716244277
EGF,Basal,Resting,96,3.0,0.713749407608201
EGF,Basal,Resting,96,4.0,0.600938874286765
EGF,Inflammatory,Activated,24,1.0,0.924446763943147
EGF,Inflammatory,Activated,24,2.0,0.656620266750185
EGF,Inflammatory,Activated,24,3.0,0.893364516315034
EGF,Inflammatory,Activated,24,4.0,0.139348609380233
EGF,Inflammatory,Activated,48,1.0,0.987552884537114
EGF,Inflammatory,Activated,48,2.0,1.05188716244277
EGF,Inflammatory,Activated,48,3.0,0.802054049926862
EGF,Inflammatory,Activated,48,4.0,0.742841754055181
EGF,Inflammatory,Activated,96,1.0,0.600938874286765
EGF,Inflammatory,Activated,96,2.0,1.01956848172049
EGF,Inflammatory,Activated,96,3.0,0.893364516315034
EGF,Inflammatory,Activated,96,4.0,0.728252197829449
EGF,Inflammatory,None,24,,0.87452887595669
EGF,Inflammatory,None,48,,0.841915115717434
EGF,Inflammatory,None,96,,0.7849262774032231
EGF,Inflammatory,Resting,24,1.0,0.656620266750185
EGF,Inflammatory,Resting,24,2.0,0.893364516315034
