time,sample,environment,condition,cell_type,dist_pct,count
96,4,Inflammatory,Control,A549,85,169
96,4,Inflammatory,Control,A549,95,137
96,4,Inflammatory,Control,A549,105,8
96,4,Inflammatory,Control,A549,115,0
96,4,Inflammatory,Control,A549,125,0
96,5,Inflammatory,Resting,MRC5,5,0
96,5,Inflammatory,Resting,MRC5,15,0
96,5,Inflammatory,Resting,MRC5,25,0
96,5,Inflammatory,Resting,MRC5,35,1
96,5,Inflammatory,Resting,MRC5,45,0
96,5,Inflammatory,Resting,MRC5,55,1
96,5,Inflammatory,Resting,MRC5,65,6
96,5,Inflammatory,Resting,MRC5,75,2
96,5,Inflammatory,Resting,MRC5,85,9
96,5,Inflammatory,Resting,MRC5,95,5
96,5,Inflammatory,Resting,MRC5,105,4
96,5,Inflammatory,Resting,MRC5,115,5
96,5,Inflammatory,Resting,MRC5,125,6
96,5,Inflammatory,Resting,A549,5,0
96,5,Inflammatory,Resting,A549,15,0
96,5,Inflammatory,Resting,A549,25,0
96,5,Inflammatory,Resting,A549,35,4
96,5,Inflammatory,Resting,A549,45,3
96,5,Inflammatory,Resting,A549,55,9
96,5,Inflammatory,Resting,A549,65,21
96,5,Inflammatory,Resting,A549,75,25
96,5,Inflammatory,Resting,A549,85,24
96,5,Inflammatory,Resting,A549,95,20
96,5,Inflammatory,Resting,A549,105,26
96,5,Inflammatory,Resting,A549,115,28
96,5,Inflammatory,Resting,A549,125,35
96,5,Inflammatory,Resting,PBMC,5,0
96,5,Inflammatory,Resting,PBMC,15,0
96,5,Inflammatory,Resting,PBMC,25,0
96,5,Inflammatory,Resting,PBMC,35,3
96,5,Inflammatory,Resting,PBMC,45,11
96,5,Inflammatory,Resting,PBMC,55,11
96,5,Inflammatory,Resting,PBMC,65,17
96,5,Inflammatory,Resting,PBMC,75,25
96,5,Inflammatory,Resting,PBMC,85,25
96,5,Inflammatory,Resting,PBMC,95,31
96,5,Inflammatory,Resting,PBMC,105,35
96,5,Inflammatory,Resting,PBMC,115,39
96,5,Inflammatory,Resting,PBMC,125,51
96,6,Inflammatory,Activated,MRC5,5,3
96,6,Inflammatory,Activated,MRC5,15,6
96,6,Inflammatory,Activated,MRC5,25,17
96,6,Inflammatory,Activated,MRC5,35,20
96,6,Inflammatory,Activated,MRC5,45,28
96,6,Inflammatory,Activated,MRC5,55,27
96,6,Inflammatory,Activated,MRC5,65,35
96,6,Inflammatory,Activated,MRC5,75,39
96,6,Inflammatory,Activated,MRC5,85,36
96,6,Inflammatory,Activated,MRC5,95,27
96,6,Inflammatory,Activated,MRC5,105,4
96,6,Inflammatory,Activated,MRC5,115,0
96,6,Inflammatory,Activated,MRC5,125,0
96,6,Inflammatory,Activated,A549,5,9
96,6,Inflammatory,Activated,A549,15,12
96,6,Inflammatory,Activated,A549,25,26
96,6,Inflammatory,Activated,A549,35,42
96,6,Inflammatory,Activated,A549,45,61
96,6,Inflammatory,Activated,A549,55,74
96,6,Inflammatory,Activated,A549,65,92
96,6,Inflammatory,Activated,A549,75,114
96,6,Inflammatory,Activated,A549,85,114
96,6,Inflammatory,Activated,A549,95,84
96,6,Inflammatory,Activated,A549,105,19
96,6,Inflammatory,Activated,A549,115,0
96,6,Inflammatory,Activated,A549,125,0
96,6,Inflammatory,Activated,PBMC,5,6
96,6,Inflammatory,Activated,PBMC,15,23
96,6,Inflammatory,Activated,PBMC,25,29
96,6,Inflammatory,Activated,PBMC,35,38
96,6,Inflammatory,Activated,PBMC,45,55
96,6,Inflammatory,Activated,PBMC,55,70
96,6,Inflammatory,Activated,PBMC,65,89
96,6,Inflammatory,Activated,PBMC,75,75
96,6,Inflammatory,Activated,PBMC,85,129
96,6,Inflammatory,Activated,PBMC,95,101
96,6,Inflammatory,Activated,PBMC,105,11
96,6,Inflammatory,Activated,PBMC,115,0
96,6,Inflammatory,Activated,PBMC,125,0
